# h = 0.01
# L = 4.0
# H = 1.0
# x = 1.0
# y = 0.4
# a = 0.4
# theta = pi / 6
# r_rel = 0.25
# h_meas = 1.0
# 45406 nodes, 89668 elements
loc_x,loc_y,inode,dof_idx,dof_type,idof,value
1.0,0.0,9,0,dx,24038,-0.0008078479108230002
1.0,0.0,9,1,dy,24039,-0.0012044646769411782
1.0,1.0,12,0,dx,22384,0.0007394591127121374
1.0,1.0,12,1,dy,22385,-0.0010836388265511078
2.0,0.0,11,0,dx,70796,-0.00136666877888657
2.0,0.0,11,1,dy,70797,-0.0033156438079058772
2.0,1.0,14,0,dx,70614,0.0012107728841029286
2.0,1.0,14,1,dy,70615,-0.003319447619484404
3.0,0.0,13,0,dx,8870,-0.0016669980289409515
3.0,0.0,13,1,dy,8871,-0.0063042409159535075
3.0,1.0,16,0,dx,70672,0.0015104983688923436
3.0,1.0,16,1,dy,70673,-0.006302606068573713
4.0,0.0,15,0,dx,90608,-0.001748245809707178
4.0,0.0,15,1,dy,90609,-0.00966243199654623
4.0,1.0,17,0,dx,90558,0.0017798157457115979
4.0,1.0,17,1,dy,90559,-0.01
