# h = 0.005
# L = 5.0
# H = 1.0
# U = 0.5
# x = 1.0
# y = 0.4
# a = 0.4
# theta = np.pi / 6
# r_rel = 0.25
# h_meas = 0.2
# 229642 nodes, 456476 elements
loc_x,loc_y,inode,dof_idx,dof_type,idof,value
0.0,0.0,23,0,dx,452670,0.0005506580118347132
0.0,0.0,23,1,dy,452671,0.0025581727244947464
0.0,1.0,31,0,dx,452672,0.006180236382661997
0.0,1.0,31,1,dy,452673,0.002641999852612733
0.2,0.0,24,0,dx,453012,0.0005584115301618295
0.2,0.0,24,1,dy,453013,0.0014903578485972477
0.2,1.0,33,0,dx,8248,0.006183655144579667
0.2,1.0,33,1,dy,8249,0.0014727557582938672
0.4,0.0,0,0,dx,147324,0.0005682660035296491
0.4,0.0,0,1,dy,147325,0.0005682650807983088
0.4,1.0,35,0,dx,147908,0.006210277163038028
0.4,1.0,35,1,dy,147909,0.00029535692322147186
0.6000000000000001,0.0,1,0,dx,313480,0.0005682663268224466
0.6000000000000001,0.0,1,1,dy,313481,-0.0005682672489741321
0.6000000000000001,1.0,37,0,dx,144616,0.0062653531107604655
0.6000000000000001,1.0,37,1,dy,144617,-0.0009408151338075819
0.8,0.0,28,0,dx,126116,0.0005878352566049584
0.8,0.0,28,1,dy,126117,-0.001941997828113158
0.8,1.0,39,0,dx,372554,0.0063170221619358
0.8,1.0,39,1,dy,372555,-0.002300481259463163
1.0,0.0,30,0,dx,68936,0.0005854625412276531
1.0,0.0,30,1,dy,68937,-0.003512487122725695
1.0,1.0,41,0,dx,96150,0.006258514926013995
1.0,1.0,41,1,dy,96151,-0.0037790384595311225
1.2000000000000002,0.0,32,0,dx,173822,0.000921505628179482
1.2000000000000002,0.0,32,1,dy,173823,-0.005168149963668495
1.2000000000000002,1.0,43,0,dx,141846,0.00600784110938535
1.2000000000000002,1.0,43,1,dy,141847,-0.005169898235157658
1.4000000000000001,0.0,34,0,dx,131388,0.0013218768060686199
1.4000000000000001,0.0,34,1,dy,131389,-0.006327456863311178
1.4000000000000001,1.0,45,0,dx,3986,0.00567301727956632
1.4000000000000001,1.0,45,1,dy,3987,-0.006298818669754379
1.6,0.0,36,0,dx,109756,0.001657871746312908
1.6,0.0,36,1,dy,109757,-0.007225092402088193
1.6,1.0,47,0,dx,178650,0.005335141283870093
1.6,1.0,47,1,dy,178651,-0.007221935060480412
1.8,0.0,38,0,dx,448824,0.002012247090525288
1.8,0.0,38,1,dy,448825,-0.007985021579127586
1.8,1.0,49,0,dx,204842,0.00497906994977328
1.8,1.0,49,1,dy,204843,-0.00799754551347036
2.0,0.0,40,0,dx,373726,0.002423027344920736
2.0,0.0,40,1,dy,373727,-0.008591367843398293
2.0,1.0,51,0,dx,13938,0.004585129649097799
2.0,1.0,51,1,dy,13939,-0.008635296616019047
2.2,0.0,42,0,dx,255718,0.0028919234802362993
2.2,0.0,42,1,dy,255719,-0.009006963980809028
2.2,1.0,53,0,dx,373824,0.004139917220786648
