# h = 0.002
# L = 5.0
# H = 1.0
# U = 0.5
# x = 1.0
# y = 0.4
# a = 0.4
# theta = np.pi / 6
# r_rel = 0.25
# h_meas = 0.1
# 1424595 nodes, 2842174 elements
loc_x,loc_y,inode,dof_idx,dof_type,idof,value
0.0,0.0,26,0,dx,2811032,0.0005664942941938529
0.0,0.0,26,1,dy,2811033,0.0026255102690346745
0.0,1.0,43,0,dx,2811028,0.006359896314204232
0.0,1.0,43,1,dy,2811029,0.002711758711261285
0.1,0.0,27,0,dx,1350546,0.0005672515685589699
0.1,0.0,27,1,dy,1350547,0.002075304991144564
0.1,1.0,45,0,dx,1300926,0.00636000756714951
0.1,1.0,45,1,dy,1300927,0.0021089998614369546
0.2,0.0,29,0,dx,1190822,0.0005743928562725099
0.2,0.0,29,1,dy,1190823,0.0015262654474693588
0.2,1.0,47,0,dx,3360,0.006363407313532819
0.2,1.0,47,1,dy,3361,0.0015086117070818167
0.30000000000000004,0.0,31,0,dx,1792344,0.0005909053871675417
0.30000000000000004,0.0,31,1,dy,1792345,0.0009953852161719557
0.30000000000000004,1.0,49,0,dx,1968550,0.006373246374705338
0.30000000000000004,1.0,49,1,dy,1968551,0.0009066409749440376
0.4,0.0,0,0,dx,846718,0.0005846524770522896
0.4,0.0,0,1,dy,846719,0.0005846514111955986
0.4,1.0,51,0,dx,892652,0.00639078657389636
0.4,1.0,51,1,dy,892653,0.0002971020163144217
0.5,0.0,1,0,dx,730964,0.000584652637014452
0.5,0.0,1,1,dy,730965,-7.598381276955306e-10
0.5,1.0,53,0,dx,859744,0.0064160973593062505
0.5,1.0,53,1,dy,859745,-0.0003271826363338712
0.6000000000000001,0.0,2,0,dx,1071314,0.0005846528088669586
0.6000000000000001,0.0,2,1,dy,1071315,-0.0005846538740541016
0.6000000000000001,1.0,55,0,dx,853972,0.006447442380388801
0.6000000000000001,1.0,55,1,dy,853973,-0.00097481662075475
0.7000000000000001,0.0,36,0,dx,1008542,0.000591857901621256
0.7000000000000001,0.0,36,1,dy,1008543,-0.0013449662926300597
0.7000000000000001,1.0,57,0,dx,1161172,0.0064793903478729455
0.7000000000000001,1.0,57,1,dy,1161173,-0.0016549594936381997
0.8,0.0,38,0,dx,652462,0.0006052032240700512
0.8,0.0,38,1,dy,652463,-0.00200573905687882
0.8,1.0,59,0,dx,1237142,0.006500621121064512
0.8,1.0,59,1,dy,1237143,-0.0023736747269395386
0.9,0.0,40,0,dx,657528,0.0005854110291930635
0.9,0.0,40,1,dy,657529,-0.002739249306129287
0.9,1.0,61,0,dx,847368,0.006493802025491565
0.9,1.0,61,1,dy,847369,-0.0031271687682049524
1.0,0.0,42,0,dx,622852,0.0006025020472366706
1.0,0.0,42,1,dy,622853,-0.0036210259147416188
1.0,1.0,63,0,dx,587458,0.0064405852922383225
1.0,1.0,63,1,dy,587459,-0.00389476576238719
1.1,0.0,44,0,dx,1101632,0.0007386619407607928
1.1,0.0,44,1,dy,1101633,-0.004532328888108836
1.1,1.0,65,0,dx,696510,0.00633308882045732
1.1,1.0,65,1,dy,696511,-0.0046395667522680295
1.2000000000000002,0.0,46,0,dx,1133350,0.0009477825300077037
1.2000000000000002,0.0,46,1,dy,1133351,-0.005324070432031644
1.2000000000000002,1.0,67,0,dx,30636,0.006183014549413215
1.2000000000000002,1.0,67,1,dy,30637,-0.00532575438413941
1.3,0.0,48,0,dx,786802,0.0011643204718477466
1.3,0.0,48,1,dy,786803,-0.005972992978689121
1.3,1.0,69,0,dx,823226,0.006012907939729297
1.3,1.0,69,1,dy,823227,-0.005939347314593274
1.4000000000000001,0.0,50,0,dx,700166,0.0013590876167283825
1.4000000000000001,0.0,50,1,dy,700167,-0.00651704759336366
1.4000000000000001,1.0,71,0,dx,2237180,0.0058389873587821545
1.4000000000000001,1.0,71,1,dy,2237181,-0.006487489542738533
1.5,0.0,52,0,dx,710368,0.0015343544151274128
1.5,0.0,52,1,dy,710369,-0.006998890924226298
1.5,1.0,73,0,dx,2237618,0.005665981411982442
1.5,1.0,73,1,dy,2237619,-0.006983590348874667
1.6,0.0,54,0,dx,808158,0.0017041789234950018
1.6,0.0,54,1,dy,808159,-0.007441273462849619
1.6,1.0,75,0,dx,763250,0.00549188322339624
1.6,1.0,75,1,dy,763251,-0.00743767315767095
1.7000000000000002,0.0,56,0,dx,956946,0.0018800372254915822
1.7000000000000002,0.0,56,1,dy,956947,-0.007850237325455893
1.7000000000000002,1.0,77,0,dx,851198,0.005312976520472217
1.7000000000000002,1.0,77,1,dy,851199,-0.007854695208146642
1.8,0.0,58,0,dx,2239682,0.0020682199642359875
1.8,0.0,58,1,dy,2239683,-0.008224158448796929
1.8,1.0,79,0,dx,2237120,0.005126199402461111
1.8,1.0,79,1,dy,2237121,-0.008236171584397135
1.9000000000000001,0.0,60,0,dx,2237226,0.0022714555393555515
1.9000000000000001,0.0,60,1,dy,2237227,-0.008558833508914242
1.9000000000000001,1.0,81,0,dx,1440276,0.004929609667779542
1.9000000000000001,1.0,81,1,dy,1440277,-0.008582141972740629
2.0,0.0,62,0,dx,1311376,0.0024904660940499083
2.0,0.0,62,1,dy,1311377,-0.00884938492453378
2.0,1.0,83,0,dx,2237628,0.004722024007020681
2.0,1.0,83,1,dy,2237629,-0.008892763174825282
2.1,0.0,64,0,dx,2235316,0.0027247696197853794
2.1,0.0,64,1,dy,2235317,-0.009090858584941403
2.1,1.0,85,0,dx,2233852,0.004502201433068412
2.1,1.0,85,1,dy,2233853,-0.009169876759335971
2.2,0.0,66,0,dx,2238302,0.0029729336095486794
2.2,0.0,66,1,dy,2238303,-0.009278470467130682
2.2,1.0,87,0,dx,1581748,0.004266922792574086
2.2,1.0,87,1,dy,1581749,-0.009419807864738474
2.3000000000000003,0.0,68,0,dx,2237048,0.0032326202070381963
2.3000000000000003,0.0,68,1,dy,2237049,-0.009407879381642049
2.3000000000000003,1.0,89,0,dx,1573768,0.004002640106552687
2.3000000000000003,1.0,89,1,dy,1573769,-0.009662834371061269
2.4000000000000004,0.0,70,0,dx,2238306,0.0035006134401256083
2.4000000000000004,0.0,70,1,dy,2238307,-0.009475552654716706
2.4000000000000004,1.0,3,0,dx,1420882,0.0034829261377336018
2.4000000000000004,1.0,3,1,dy,1420883,-0.010029171881845333
2.5,0.0,72,0,dx,2235584,0.0037729784529118046
2.5,0.0,72,1,dy,2235585,-0.00947916697221623
2.5,1.0,4,0,dx,2237626,0.003482925482100453
2.5,1.0,4,1,dy,2237627,-0.00999999848124976
2.6,0.0,74,0,dx,1650144,0.004045372636400549
2.6,0.0,74,1,dy,1650145,-0.009417920353244763
2.6,1.0,5,0,dx,2235514,0.003482924827388423
2.6,1.0,5,1,dy,2235515,-0.009970825257611903
2.7,0.0,76,0,dx,2236522,0.0043134769982062
2.7,0.0,76,1,dy,2236523,-0.009292646635205978
2.7,1.0,94,0,dx,2237634,0.002963175142387949
2.7,1.0,94,1,dy,2237635,-0.009545895822168493
2.8000000000000003,0.0,78,0,dx,1616182,0.004573412357156715
2.8000000000000003,0.0,78,1,dy,1616183,-0.009105677845460474
2.8000000000000003,1.0,96,0,dx,1652412,0.00269908888707019
2.8000000000000003,1.0,96,1,dy,1652413,-0.009244241566529594
2.9000000000000004,0.0,80,0,dx,1855322,0.004822057059815539
2.9000000000000004,0.0,80,1,dy,1855323,-0.008860506619955816
2.9000000000000004,1.0,98,0,dx,2235838,0.002464228403375191
2.9000000000000004,1.0,98,1,dy,2235839,-0.008935456121114207
3.0,0.0,82,0,dx,2238310,0.0050571816106981405
3.0,0.0,82,1,dy,2238311,-0.008561335777376356
3.0,1.0,100,0,dx,2237636,0.002245300491863663
3.0,1.0,100,1,dy,2237637,-0.008599195183546073
3.1,0.0,84,0,dx,2238312,0.005277405648654718
3.1,0.0,84,1,dy,2238313,-0.008212650656213722
3.1,1.0,102,0,dx,3910,0.0020395358050560113
3.1,1.0,102,1,dy,3911,-0.008229102337075935
3.2,0.0,86,0,dx,2235616,0.005482045898716279
3.2,0.0,86,1,dy,2235617,-0.007818889965087193
3.2,1.0,104,0,dx,2232082,0.001846510436355996
3.2,1.0,104,1,dy,2232083,-0.007823450498566845
3.3000000000000003,0.0,88,0,dx,2230576,0.005670906048806201
3.3000000000000003,0.0,88,1,dy,2230577,-0.00738425427197908
3.3000000000000003,1.0,106,0,dx,2803540,0.0016664892069108016
3.3000000000000003,1.0,106,1,dy,2803541,-0.007382604513637184
3.4000000000000004,0.0,90,0,dx,150222,0.005844094007691208
3.4000000000000004,0.0,90,1,dy,150223,-0.006912631268307503
3.4000000000000004,1.0,107,0,dx,1955846,0.0014999249872520812
3.4000000000000004,1.0,107,1,dy,1955847,-0.0069080454010746585
3.5,0.0,91,0,dx,98928,0.0060018854535723596
3.5,0.0,91,1,dy,98929,-0.006407590819604131
3.5,1.0,108,0,dx,2215558,0.001347296604506308
3.5,1.0,108,1,dy,2215559,-0.006401916445165598
3.6,0.0,92,0,dx,2239126,0.0061446387004540975
3.6,0.0,92,1,dy,2239127,-0.005872408522771733
3.6,1.0,109,0,dx,2236270,0.0012090519355770844
3.6,1.0,109,1,dy,2236271,-0.005866792778308967
3.7,0.0,93,0,dx,2231600,0.006272754459408579
3.7,0.0,93,1,dy,2231601,-0.0053100847064751775
3.7,1.0,111,0,dx,2099854,0.0010855908302257967
3.7,1.0,111,1,dy,2099855,-0.005305565528497653
3.8000000000000003,0.0,95,0,dx,2220386,0.006386669288965071
3.8000000000000003,0.0,95,1,dy,2220387,-0.00472332246500602
3.8000000000000003,1.0,113,0,dx,60716,0.000977248473400014
3.8000000000000003,1.0,113,1,dy,60717,-0.004721391460287197
3.9000000000000004,0.0,97,0,dx,2238568,0.006486855168495729
3.9000000000000004,0.0,97,1,dy,2238569,-0.004114442511388853
3.9000000000000004,1.0,115,0,dx,2116534,0.0008842615004498802
3.9000000000000004,1.0,115,1,dy,2116535,-0.004117678958640354
4.0,0.0,99,0,dx,43634,0.006573814975086789
4.0,0.0,99,1,dy,43635,-0.003485171972037602
4.0,1.0,117,0,dx,2149164,0.0008067018092434954
4.0,1.0,117,1,dy,2149165,-0.003498079619489487
4.1000000000000005,0.0,101,0,dx,2113522,0.006648038368938421
4.1000000000000005,0.0,101,1,dy,2113523,-0.0028361598914934923
4.1000000000000005,1.0,119,0,dx,2111870,0.0007443715900098246
4.1000000000000005,1.0,119,1,dy,2111871,-0.0028664537848330637
4.2,0.0,103,0,dx,2042376,0.0067098239238426805
4.2,0.0,103,1,dy,2042377,-0.002165661737714211
4.2,1.0,121,0,dx,2235848,0.0006966686397635867
4.2,1.0,121,1,dy,2235849,-0.0022267687330547537
4.3,0.0,105,0,dx,2059196,0.006758347703938436
4.3,0.0,105,1,dy,2059197,-0.001464523826501244
4.3,1.0,123,0,dx,2172180,0.0006624665508973288
4.3,1.0,123,1,dy,2172181,-0.0015829072295613525
4.4,0.0,6,0,dx,2231366,0.006754946731772997
4.4,0.0,6,1,dy,2231367,-0.0006401189665060171
4.4,1.0,125,0,dx,2038474,0.0006400541360877121
4.4,1.0,125,1,dy,2038475,-0.0009383812849079694
4.5,0.0,7,0,dx,2211996,0.006754946861203431
4.5,0.0,7,1,dy,2211997,-7.588653295672897e-10
4.5,1.0,127,0,dx,2235854,0.000627198484132928
4.5,1.0,127,1,dy,2235855,-0.0002960126358293729
4.6000000000000005,0.0,8,0,dx,2205876,0.006754946974325792
4.6000000000000005,0.0,8,1,dy,2205877,0.000640116586871754
4.6000000000000005,1.0,129,0,dx,2240098,0.0006213431603193147
4.6000000000000005,1.0,129,1,dy,2240099,0.00034233952749740046
4.7,0.0,110,0,dx,2582,0.006724567761236175
4.7,0.0,110,1,dy,2583,0.0010947445797022937
4.7,1.0,131,0,dx,2164488,0.0006198997162586511
4.7,1.0,131,1,dy,2164489,0.000975908547956717
4.800000000000001,0.0,112,0,dx,77552,0.006732766214692727
4.800000000000001,0.0,112,1,dy,77553,0.0016645531029341562
4.800000000000001,1.0,133,0,dx,2221550,0.0006205448221415877
4.800000000000001,1.0,133,1,dy,2221551,0.0016049861977388109
4.9,0.0,114,0,dx,2240318,0.006737622791823904
4.9,0.0,114,1,dy,2240319,0.002253562591776947
4.9,1.0,135,0,dx,2170068,0.0006214568066648647
4.9,1.0,135,1,dy,2170069,0.002230801929875881
5.0,0.0,116,0,dx,2811036,0.006738452897224718
5.0,0.0,116,1,dy,2811037,0.0028467606024997556
5.0,1.0,136,0,dx,2811026,0.0006216717363082494
5.0,1.0,136,1,dy,2811027,0.002855404317277306
0.0,0.1,28,0,dx,1009088,0.0011143828975966647
0.0,0.1,28,1,dy,1009089,0.0026262219764936743
5.0,0.1,118,0,dx,2235834,0.0061461386230994616
5.0,0.1,118,1,dy,2235835,0.0028475412472814764
0.0,0.2,30,0,dx,2237602,0.0016627707626680705
0.0,0.2,30,1,dy,2237603,0.002631840439615269
5.0,0.2,120,0,dx,2239284,0.0055505024896128794
5.0,0.2,120,1,dy,2239285,0.002850949884638716
0.0,0.30000000000000004,32,0,dx,1819792,0.002218096334116978
0.0,0.30000000000000004,32,1,dy,1819793,0.002642205400981855
5.0,0.30000000000000004,122,0,dx,2238926,0.00494750180568025
5.0,0.30000000000000004,122,1,dy,2238927,0.0028541415868909977
0.0,0.4,33,0,dx,920398,0.002783228554833498
0.0,0.4,33,1,dy,920399,0.002655606463731478
5.0,0.4,124,0,dx,2239286,0.004338310602114354
5.0,0.4,124,1,dy,2239287,0.002855177472180855
0.0,0.5,34,0,dx,920490,0.003359277855655887
0.0,0.5,34,1,dy,920491,0.0026708553302912733
5.0,0.5,126,0,dx,2219482,0.00372521668339198
5.0,0.5,126,1,dy,2219483,0.0028545735089743657
0.0,0.6000000000000001,35,0,dx,745640,0.003946608784709503
0.0,0.6000000000000001,35,1,dy,745641,0.0026863200481853145
5.0,0.6000000000000001,128,0,dx,2238796,0.003109446042765165
5.0,0.6000000000000001,128,1,dy,2238797,0.002853722400906974
0.0,0.7000000000000001,37,0,dx,2031274,0.004544149320712849
0.0,0.7000000000000001,37,1,dy,2031275,0.002699597684214276
5.0,0.7000000000000001,130,0,dx,2239290,0.002491130301007531
5.0,0.7000000000000001,130,1,dy,2239291,0.0028536117615520595
0.0,0.8,39,0,dx,1292684,0.005148722615154207
0.0,0.8,39,1,dy,1292685,0.002708330662244198
5.0,0.8,132,0,dx,2197482,0.0018700325869441417
5.0,0.8,132,1,dy,2197483,0.0028543375086544087
0.0,0.9,41,0,dx,201274,0.005755389622355017
0.0,0.9,41,1,dy,201275,0.002711643513844744
5.0,0.9,134,0,dx,2239234,0.0012464037402120493
5.0,0.9,134,1,dy,2239235,0.002855193319753786
